                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1623,                 2.0424,                 1.4318,                0.78028,                 0.7326,                0.83236,                0.52564,                 1.0861,                 1.4228,                 1.2924,              0.0033307,              0.0033307,              0.0033307
                      2,                 1.1014,                  1.511,                 1.3665,                0.83562,                0.76951,                0.84487,                0.47303,                 1.2701,                 1.3747,                 1.3981,              0.0065321,              0.0065321,              0.0065321
                      3,                 1.1485,                 1.4555,                 1.3971,                0.85142,                0.79673,                0.86422,                0.50642,                 1.3536,                 1.2818,                 1.4654,              0.0096015,              0.0096015,              0.0096015
                      4,                 1.1539,                  1.429,                 1.4017,                0.86485,                0.80523,                0.86303,                0.50388,                 1.3057,                 1.3714,                 1.4074,               0.009406,               0.009406,               0.009406
                      5,                  1.094,                 1.3402,                 1.3603,                0.86114,                0.83908,                0.90047,                0.59639,                  1.077,                 1.0342,                 1.2327,               0.009208,               0.009208,               0.009208
                      6,                  1.069,                 1.2964,                 1.3445,                0.90255,                0.84604,                0.92484,                0.62937,                 1.0285,                 1.0546,                 1.1692,                0.00901,                0.00901,                0.00901
                      7,                  1.035,                 1.2525,                 1.3272,                0.89435,                0.83989,                0.92311,                0.63719,                0.98546,                0.93888,                 1.1265,               0.008812,               0.008812,               0.008812
                      8,                 1.0082,                 1.2151,                 1.3067,                0.82553,                0.76104,                0.87736,                0.61495,                0.96074,                 1.0343,                 1.0745,               0.008614,               0.008614,               0.008614
                      9,                0.99823,                 1.1962,                 1.3003,                  0.783,                0.86008,                0.90103,                0.63752,                0.98056,                0.88175,                 1.1202,               0.008416,               0.008416,               0.008416
                     10,                0.98677,                 1.1778,                 1.2951,                0.84115,                0.85057,                0.92067,                0.65623,                0.92442,                0.89408,                 1.0654,               0.008218,               0.008218,               0.008218
                     11,                0.96929,                 1.1608,                 1.2814,                 0.8535,                0.86146,                0.91946,                0.67217,                 0.8845,                0.82184,                 1.0411,                0.00802,                0.00802,                0.00802
                     12,                0.95319,                 1.1366,                 1.2727,                0.83618,                0.89897,                0.91945,                0.68546,                0.87674,                 0.8032,                  1.037,               0.007822,               0.007822,               0.007822
                     13,                0.94479,                 1.1289,                 1.2645,                0.86351,                0.91859,                0.93442,                0.69213,                   0.89,                0.74942,                 1.0532,               0.007624,               0.007624,               0.007624
                     14,                0.94253,                  1.127,                 1.2666,                0.82402,                0.89353,                0.93106,                0.68655,                0.89024,                0.80968,                 1.0437,               0.007426,               0.007426,               0.007426
                     15,                  0.928,                 1.1149,                 1.2538,                0.83443,                0.92317,                0.92847,                 0.6884,                 0.8736,                0.76868,                 1.0298,               0.007228,               0.007228,               0.007228
                     16,                0.92257,                 1.1062,                 1.2507,                0.82759,                0.92498,                0.93654,                0.70779,                0.86073,                 0.7352,                   1.01,                0.00703,                0.00703,                0.00703
                     17,                0.91603,                 1.0976,                  1.249,                0.85436,                0.90381,                0.94026,                0.71612,                0.82812,                0.72804,                 0.9765,               0.006832,               0.006832,               0.006832
                     18,                0.91231,                 1.0809,                 1.2462,                 0.8543,                0.92257,                0.94225,                0.71282,                0.83785,                0.72189,                0.99512,               0.006634,               0.006634,               0.006634
                     19,                0.90488,                 1.0776,                 1.2394,                0.85467,                0.91787,                0.94738,                0.71765,                0.83204,                0.67717,                0.98006,               0.006436,               0.006436,               0.006436
                     20,                0.90591,                 1.0661,                 1.2392,                0.86134,                0.92068,                0.94723,                0.72574,                0.81067,                0.68238,                0.95709,               0.006238,               0.006238,               0.006238
                     21,                 0.8911,                 1.0575,                 1.2333,                0.87573,                0.90376,                0.94673,                0.72741,                0.79425,                0.69558,                0.95619,                0.00604,                0.00604,                0.00604
                     22,                0.89067,                 1.0609,                 1.2319,                0.87398,                0.93345,                0.95051,                0.74201,                0.78133,                0.66426,                0.93826,               0.005842,               0.005842,               0.005842
                     23,                0.88251,                 1.0458,                 1.2294,                0.86579,                 0.9274,                0.94629,                0.71807,                0.82507,                0.66504,                0.96556,               0.005644,               0.005644,               0.005644
                     24,                0.88008,                 1.0456,                 1.2251,                 0.8671,                0.93151,                0.94905,                0.73837,                0.77961,                0.65839,                0.93003,               0.005446,               0.005446,               0.005446
                     25,                0.88023,                 1.0418,                 1.2247,                0.84487,                0.93224,                0.94624,                0.73772,                0.77245,                0.66898,                0.93685,               0.005248,               0.005248,               0.005248
                     26,                0.87361,                 1.0332,                 1.2221,                 0.8753,                 0.9215,                0.95194,                0.74419,                0.77036,                0.65171,                0.92355,                0.00505,                0.00505,                0.00505
                     27,                0.86317,                 1.0191,                 1.2181,                0.86721,                0.90868,                0.95353,                0.74668,                0.77346,                0.65174,                0.92672,               0.004852,               0.004852,               0.004852
