                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1534,                 1.8544,                 1.4352,                0.81856,                0.80088,                0.86649,                0.51354,                 1.2036,                 1.4245,                 1.3972,              0.0033307,              0.0033307,              0.0033307
                      2,                 1.0809,                 1.3777,                  1.367,                0.88273,                0.81694,                0.89805,                0.52316,                 1.2499,                 1.1971,                 1.3713,              0.0065321,              0.0065321,              0.0065321
                      3,                 1.1195,                 1.3138,                 1.3888,                0.85473,                0.82035,                0.87157,                0.50046,                 1.2939,                   1.35,                 1.3413,              0.0096015,              0.0096015,              0.0096015
                      4,                 1.1185,                 1.2902,                 1.3907,                0.88178,                0.83057,                0.89366,                0.55256,                 1.2103,                 1.1324,                 1.3397,               0.009406,               0.009406,               0.009406
                      5,                 1.0735,                  1.219,                 1.3613,                0.88797,                0.84128,                0.90872,                0.57695,                 1.1327,                 1.0649,                 1.2352,               0.009208,               0.009208,               0.009208
                      6,                 1.0495,                 1.1747,                 1.3424,                0.91234,                0.85297,                0.92907,                0.62843,                 1.0735,                 0.9328,                 1.2189,                0.00901,                0.00901,                0.00901
                      7,                 1.0152,                 1.1355,                 1.3237,                0.90736,                0.88218,                0.93258,                0.65118,                0.95942,                0.80425,                 1.1014,               0.008812,               0.008812,               0.008812
                      8,                0.99773,                  1.116,                 1.3099,                  0.901,                 0.8666,                0.93597,                0.66327,                 0.9535,                0.91027,                 1.0915,               0.008614,               0.008614,               0.008614
                      9,                0.98241,                 1.1012,                 1.3007,                0.92589,                0.86984,                0.93904,                0.66658,                 0.9733,                0.76048,                 1.1057,               0.008416,               0.008416,               0.008416
                     10,                0.96843,                 1.0829,                 1.2964,                0.92539,                0.88997,                0.94443,                0.68236,                0.91991,                0.85928,                 1.0621,               0.008218,               0.008218,               0.008218
                     11,                0.96184,                 1.0688,                 1.2871,                0.93967,                0.88608,                 0.9503,                0.70133,                0.89517,                0.72156,                 1.0392,                0.00802,                0.00802,                0.00802
                     12,                0.94749,                   1.05,                 1.2798,                0.95739,                0.87196,                0.94751,                0.68774,                0.93529,                0.74861,                 1.0792,               0.007822,               0.007822,               0.007822
                     13,                0.93129,                 1.0455,                 1.2698,                0.93219,                0.91022,                0.95633,                0.70565,                0.88674,                0.68937,                 1.0398,               0.007624,               0.007624,               0.007624
                     14,                 0.9328,                 1.0443,                 1.2731,                0.93816,                0.89046,                0.95682,                0.70865,                0.89615,                0.66564,                 1.0356,               0.007426,               0.007426,               0.007426
                     15,                 0.9192,                 1.0323,                 1.2597,                0.95107,                0.89904,                0.95516,                0.71559,                0.85739,                0.64788,                 1.0084,               0.007228,               0.007228,               0.007228
                     16,                0.91809,                 1.0175,                 1.2589,                0.95469,                0.89922,                0.96429,                 0.7241,                0.85755,                0.59471,                  1.006,                0.00703,                0.00703,                0.00703
                     17,                0.90959,                 1.0158,                 1.2571,                0.95606,                0.88983,                0.95885,                0.72855,                0.82874,                0.65298,                0.97958,               0.006832,               0.006832,               0.006832
                     18,                0.90431,                 1.0082,                 1.2565,                0.95335,                0.89971,                0.96185,                0.73628,                0.83759,                0.64044,                0.98754,               0.006634,               0.006634,               0.006634
                     19,                0.89841,                 1.0043,                 1.2497,                 0.9608,                0.90068,                0.96558,                0.74192,                 0.8184,                0.57986,                0.96948,               0.006436,               0.006436,               0.006436
                     20,                0.89873,                0.99839,                 1.2487,                 0.9468,                 0.9148,                0.96622,                0.73809,                0.82744,                0.60418,                0.95937,               0.006238,               0.006238,               0.006238
                     21,                0.88994,                0.98424,                 1.2425,                0.96227,                0.89727,                0.96406,                0.74934,                0.80408,                0.57926,                0.94967,                0.00604,                0.00604,                0.00604
                     22,                0.88597,                0.98721,                 1.2408,                0.95665,                0.90506,                0.96624,                0.74571,                0.81125,                0.58827,                0.95814,               0.005842,               0.005842,               0.005842
                     23,                0.88155,                0.97422,                 1.2406,                 0.9552,                0.91341,                0.96802,                0.75244,                0.80131,                0.59613,                0.94835,               0.005644,               0.005644,               0.005644
